Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Atlanta Hawks,51,0.569,0.516,0.24100000000000002,0.161,0.265,0.491,0.239,0.162,0.299,2012-13,15,0.5329999999999999,103.8,103.8,0.0,15
Boston Celtics,52,0.5379999999999999,0.49200000000000005,0.263,0.153,0.255,0.48200000000000004,0.29600000000000004,0.16899999999999998,0.308,2012-13,16,0.563,99.8,97.9,1.9,13
Brooklyn Nets,53,0.585,0.489,0.306,0.162,0.33799999999999997,0.502,0.235,0.149,0.303,2012-13,17,0.588,103.1,105.9,-2.7,18
Charlotte Bobcats,52,0.231,0.455,0.316,0.151,0.311,0.516,0.261,0.149,0.32799999999999996,2012-13,16,0.188,97.6,109.5,-11.8,9
Chicago Bulls,52,0.5770000000000001,0.46799999999999997,0.271,0.162,0.344,0.467,0.268,0.153,0.312,2012-13,17,0.588,102.8,99.9,2.9,15
Cleveland Cavaliers,53,0.302,0.47200000000000003,0.262,0.153,0.33399999999999996,0.523,0.306,0.168,0.308,2012-13,15,0.467,108.2,110.4,-2.1,8
Dallas Mavericks,52,0.442,0.496,0.261,0.146,0.262,0.49200000000000005,0.308,0.153,0.3,2012-13,14,0.5710000000000001,108.8,103.9,4.9,18
Denver Nuggets,54,0.611,0.51,0.303,0.16,0.349,0.494,0.266,0.161,0.325,2012-13,16,0.688,112.0,106.7,5.2,24
Detroit Pistons,54,0.389,0.483,0.287,0.163,0.336,0.486,0.27399999999999997,0.145,0.306,2012-13,16,0.43799999999999994,102.4,105.6,-3.2,8
Golden State Warriors,52,0.5770000000000001,0.503,0.258,0.158,0.289,0.48700000000000004,0.287,0.138,0.298,2012-13,17,0.41200000000000003,104.6,109.8,-5.2,17
Houston Rockets,55,0.527,0.523,0.304,0.16699999999999998,0.301,0.506,0.256,0.151,0.284,2012-13,17,0.47100000000000003,112.7,108.1,4.6,16
Indiana Pacers,53,0.604,0.47,0.273,0.163,0.337,0.44799999999999995,0.252,0.14800000000000002,0.304,2012-13,16,0.563,105.7,100.3,5.3,17
Los Angeles Clippers,56,0.696,0.519,0.294,0.16,0.324,0.485,0.303,0.18,0.309,2012-13,19,0.579,107.2,103.5,3.7,17
Los Angeles Lakers,54,0.46299999999999997,0.509,0.33399999999999996,0.161,0.316,0.494,0.235,0.139,0.304,2012-13,18,0.556,104.4,104.7,-0.3,20
Memphis Grizzlies,51,0.647,0.46799999999999997,0.247,0.163,0.359,0.484,0.27,0.177,0.297,2012-13,16,0.563,101.7,101.1,0.6,23
Miami Heat,50,0.72,0.545,0.29100000000000004,0.14400000000000002,0.265,0.489,0.28,0.16399999999999998,0.319,2012-13,15,0.8,114.2,104.4,9.7,30
Milwaukee Bucks,51,0.51,0.469,0.248,0.15,0.322,0.48200000000000004,0.27399999999999997,0.171,0.332,2012-13,16,0.5,103.7,104.5,-0.8,12
Minnesota Timberwolves,50,0.38,0.47,0.312,0.16399999999999998,0.337,0.504,0.25,0.161,0.293,2012-13,17,0.17600000000000002,101.6,106.4,-4.8,12
New Orleans Hornets,53,0.358,0.496,0.24100000000000002,0.161,0.312,0.511,0.27899999999999997,0.15,0.297,2012-13,17,0.47100000000000003,107.4,106.6,0.8,8
New York Knicks,50,0.64,0.512,0.254,0.127,0.293,0.507,0.266,0.16399999999999998,0.28800000000000003,2012-13,14,0.643,108.7,103.8,4.9,22
Oklahoma City Thunder,53,0.736,0.529,0.341,0.163,0.28600000000000003,0.474,0.255,0.158,0.301,2012-13,17,0.647,109.4,101.3,8.1,21
Orlando Magic,52,0.28800000000000003,0.491,0.188,0.158,0.29,0.501,0.245,0.13,0.289,2012-13,16,0.125,99.7,111.0,-11.3,5
Philadelphia 76ers,51,0.431,0.479,0.196,0.141,0.28800000000000003,0.488,0.273,0.156,0.301,2012-13,13,0.462,100.3,100.1,0.3,12
Phoenix Suns,53,0.321,0.47600000000000003,0.23199999999999998,0.156,0.3,0.508,0.265,0.158,0.316,2012-13,14,0.28600000000000003,96.7,105.6,-8.9,8
Portland Trail Blazers,53,0.47200000000000003,0.491,0.255,0.162,0.304,0.507,0.248,0.146,0.301,2012-13,17,0.294,103.2,108.9,-5.7,8
Sacramento Kings,54,0.35200000000000004,0.478,0.278,0.159,0.312,0.515,0.292,0.161,0.341,2012-13,17,0.353,101.5,110.0,-8.5,9
San Antonio Spurs,54,0.778,0.54,0.255,0.152,0.239,0.47600000000000003,0.23399999999999999,0.157,0.29100000000000004,2012-13,15,0.9329999999999999,109.5,99.1,10.4,16
Toronto Raptors,53,0.396,0.489,0.26899999999999996,0.141,0.295,0.501,0.33299999999999996,0.157,0.322,2012-13,17,0.41200000000000003,108.2,108.7,-0.5,13
Utah Jazz,54,0.556,0.489,0.294,0.16,0.33399999999999996,0.5,0.297,0.158,0.317,2012-13,15,0.667,105.8,106.6,-0.7,13
Washington Wizards,51,0.294,0.467,0.239,0.163,0.272,0.478,0.276,0.154,0.3,2012-13,17,0.529,101.2,97.3,3.9,14
Atlanta Hawks,51,0.49,0.515,0.258,0.159,0.262,0.505,0.24600000000000002,0.162,0.292,2013-14,14,0.35700000000000004,105.2,107.6,-2.4,13
Boston Celtics,54,0.35200000000000004,0.47600000000000003,0.25,0.16399999999999998,0.305,0.49,0.301,0.151,0.297,2013-14,16,0.375,100.0,102.8,-2.8,6
Brooklyn Nets,51,0.47100000000000003,0.502,0.314,0.156,0.265,0.505,0.317,0.166,0.311,2013-14,14,0.643,106.6,103.5,3.1,20
Charlotte Bobcats,53,0.434,0.47200000000000003,0.302,0.135,0.259,0.491,0.24100000000000002,0.146,0.273,2013-14,15,0.5329999999999999,104.5,103.7,0.8,20
